galaxy_name,h_gamma,h_beta,oiii_5007,oi_6300,nii_6583,sii_6716,sii_6731,h_gamma_outlier_flag,h_beta_outlier_flag,oiii_5007_outlier_flag,oi_6300_outlier_flag,nii_6583_outlier_flag,sii_6716_outlier_flag,sii_6731_outlier_flag
NGC 4689,NA,0.19,0.06,0.053,0.5,0.19,0.12,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4694,NA,0.19,0.07,0.015,0.32,0.18,0.13,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4698,0.14,0.31,1.31,0.074,1.31,0.46,0.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4710,0.08,0.19,0.12,0.045,0.52,0.16,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4713,NA,0.24,0.24,0.087,0.44,0.39,0.28,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4725,NA,0.31,2.09,0.089,1.14,0.33,0.31,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 4736,NA,0.32,0.47,0.24,2.15,0.74,0.65,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4750,0.12,0.3,0.52,0.6,2.86,1.08,0.92,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
NGC 4762,NA,1.37,1.7,0.48,2.2,NA,0.67,NA,TRUE,TRUE,FALSE,FALSE,NA,FALSE
NGC 4772,0.12,0.31,0.92,0.54,1.31,0.97,0.87,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
NGC 4793,NA,0.11,0.05,0.03,0.33,0.15,0.11,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4800,NA,0.1,0.1,0.041,0.52,0.15,0.12,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4826,NA,0.18,0.27,0.073,1.27,0.43,0.35,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4845,0.03,0.12,0.22,0.034,0.73,0.15,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4866,NA,0.26,0.49,0.23,1.73,0.61,0.49,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4900,0.1,0.26,0.08,0.012,0.39,0.15,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5005,0.09,0.39,0.88,0.65,4.94,1.78,1.54,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
NGC 5012,NA,0.3,0.44,0.081,1.07,0.3,0.27,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5033,0.04,0.22,1.05,0.29,2.36,0.56,0.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5055,NA,0.18,0.34,0.17,1.48,0.33,0.42,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5077,0.12,0.34,0.7,0.34,1.18,0.7,0.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5112,0.11,0.24,0.17,0.051,0.36,0.33,0.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5147,NA,0.23,0.1,0.035,0.37,0.31,0.21,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5194,0.03,0.12,1.06,0.16,2.9,0.42,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5195,NA,0.53,0.64,0.55,5.43,1.01,1,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
NGC 5204,0.22,0.49,0.47,0.099,0.18,0.32,0.24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5248,0.03,0.14,0.04,0.035,0.52,0.13,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5273,0.08,0.32,3.56,0.22,1.14,0.43,0.46,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 5297,NA,0.54,0.85,0.25,2.19,1,0.78,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5300,0.08,0.24,0.06,0.023,0.41,0.21,0.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
